X,Y,osm_id,amenity,name,religion,highway,public_transport,shop,brand,denomination,addr:housenumber,operator,ref,tourism,addr:housename,bus,addr:city,addr:street,name:el,website,name:en,brand:el,brand:en,payment:cash,opening_hours,payment:visa,phone,brand:wikidata,payment:debit_cards,brand:wikipedia,addr:postcode,int_name,short_name,atm,bic,drive_through,branch,internet_access,network,cash_in,currency:EUR,name:tr,healthcare,payment:mastercard,payment:maestro,payment:credit_cards
26.54245,41.4625611,5422139670,bar,Catarct Pools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5417563,41.4634496,5422139669,place_of_worship,,christian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5545535,41.4502846,5422164365,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5535572,41.4516922,5422164362,cafe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5534613,41.4519517,5422193587,,,,bus_stop,platform,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5484458,41.4590352,5420049407,fuel,Shell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5161131,41.5008094,1306944331,,Lidl,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5186103,41.500447,5908318750,fuel,,,,,,BP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5200197,41.4997927,5915869889,grave_yard,,christian,,,,,orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5202246,41.5006815,6173864049,courthouse,Δικαστικό Μέγαρο Ορεστιάδας,,,,,,,3,,,,,,Ορεστιάδα,30 Νεομαρτύρων Θράκης,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5336557,41.4859312,3834369465,,,,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5339432,41.4857936,3834369468,,,,traffic_signals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5347186,41.4859829,5915865869,fire_station,Πυροσβεστική υπηρεσία Ορεστιάδας,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5339733,41.4943962,4398856289,hospital,,,,,,,,,,,,,,,,Κέντρο Υγείας Ορεστιάδας,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5222502,41.4987521,4398856189,school,,,,,,,,,,,,,,,,8ο Δημοτικό Σχολείο Ορεστιάδας,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5215141,41.4998872,5915870985,school,2ο Γυμνάσιο Νέας Ορεστιάδας,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5317381,41.4989618,5422500921,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5319461,41.4988245,5422500927,,,,,,convenience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5319629,41.4989429,5422500922,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5317437,41.4990755,5422500519,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.5319741,41.4990733,5422500520,bench,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
