X,Y,osm_id,amenity,name,public_transport,man_made,ele,natural,tourism,shop,religion,office,highway,leisure,denomination,ferry,name:en,description,phone,addr:street,smoking,outdoor_seating,drinking_water,cuisine,name:es,website,level,addr:postcode,addr:city,opening_hours,bus,name:ro,internet_access,addr:place,addr:country,email
22.8597954,38.7590878,64825410,ferry_terminal,Άγιος Κωνσταντίνος,station,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,
22.9432234,39.35721,3507230289,ferry_terminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.829631,39.1395729,6262480493,,,,lighthouse,,,,,,,,,,,Kokkino,,,,,,,,,,,,,,,,,,,
23.8315013,39.1478539,6262461746,,Καλόβουλος,,,325,peak,,,,,,,,,Kalovoulos,,,,,,,,,,,,,,,,,,,
23.831933,39.1487767,6778583368,bench,"Κιοσκι Καλοβουλος,Αλοννησος",,,,,,,,,,,,,,"κιοσκι ,παγκακι Καλοβουλου",,,,,,,,,,,,,,,,,,
23.8320505,39.1489578,6778581830,,Κορυφη (κολονακι) Καλοβουλου,,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8320615,39.1489602,6762100153,,"Κουφη Καλοβουλου,",,,,peak,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8329801,39.1532119,5050965917,,,,,,,viewpoint,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8445089,39.1408035,4970914710,restaurant,Meltemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8435149,39.1486943,4855904773,cafe,Χαγιάτι καφέ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8439325,39.1491562,7674581597,internet_cafe,Το πρασινο παγκακι,,,,,,,,,,,,,,coffee and drinks,6944431727,χωρα αλοννησου,,,,,,,,,,,,,,,,
23.8439389,39.1491488,7674546207,,Το πρασινο παγκακι,,,,,,coffee,,,,,,,,καφε μπαρ,6944431727,,,,,,,,,,,,,,,,,
23.8438743,39.1492684,4855910357,restaurant,Το Κάστρο,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8443276,39.1492143,4855910349,place_of_worship,Άγιος Νικόλος,,,,,,,christian,,,,,,,,,,,,,,,,,,,,,,,,,
23.8439987,39.1494849,5100655248,cafe,Kafireas,,,,,,,,,,,,,,,,,yes,yes,,,,,,,,,,,,,,
23.8447,39.1503183,4984384549,atm,Euronet Worldwide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.844732,39.1503461,4984387379,bus_station,Old Village,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8448084,39.1503004,4984385053,,Mini Market,,,,,,supermarket,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8572348,39.1464653,5100655252,drinking_water,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
23.8615269,39.1464598,4580021065,fuel,Elin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8617661,39.148077,6804894112,,Συνεργειο,,,,,,car_repair,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8584947,39.1544402,4970916379,restaurant,SunSet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8636411,39.1434155,5100655246,cafe,Marabu,,,,,,,,,,,,,,cafe,,,yes,yes,,,,,,,,,,,,,,
23.8636406,39.144229,6952743209,,Bakery and coffee,,,,,,bakery,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8636955,39.1435024,5100655259,restaurant,Το Αγρογιάλι,,,,,,,,,,,,,,Εστιατόριο - ψαροταβέρνα,,,yes,yes,,greek,,,,,,,,,,,,
